Y_true,Y_pred
9,10.764055
7,10.264405
12,10.549341
20,10.305041
12,11.428339
9,11.681479
9,15.135795
3,9.179571
7,9.468912
7,10.870655
9,10.349867
16,11.793122
3,9.355823
24,12.924614
12,11.61895
3,9.8422365
5,9.549973
8,11.539106
6,10.910509
23,10.910509
3,13.03815
16,12.161988
7,10.301225
8,11.793122
8,9.233823
7,10.138329
5,11.265722
5,12.924614
16,11.594182
17,12.764307
3,10.166046
12,9.901452
13,14.133327
23,11.428339
7,10.186276
5,10.9628725
12,11.621143
13,11.891679
7,12.337968
20,11.083575
3,11.019996
3,10.080538
26,12.425791
4,10.24353
8,8.230506
5,9.342325
7,10.403203
20,10.810088
21,11.086812
3,10.272457
9,10.958848
11,9.500321
6,14.827203
12,11.749681
18,11.694079
15,11.793122
13,11.731362
5,9.636814
6,12.682281
6,10.748036
13,11.423554
8,12.696754
10,12.38175
8,7.8990283
10,13.085796
10,10.123844
22,11.589396
5,11.642747
5,10.224426
10,10.779778
4,9.379284
13,14.942015
15,11.086812
7,11.072642
6,8.826526
11,11.731362
21,9.410866
7,12.579957
12,11.793122
8,15.603291
2,10.946825
0,11.793122
22,11.568123
8,10.748036
4,8.691344
22,11.6710005
26,15.297931
24,10.9505
5,11.086812
25,11.494326
6,9.027421
11,11.154346
20,11.072642
20,10.3537035
9,11.019996
6,11.800812
8,11.050999
6,9.455085
9,10.910509
12,11.332313
12,11.6710005
7,9.524614
5,10.848749
20,10.712833
18,10.764055
6,11.181462
5,11.731362
9,11.749681
17,13.2312975
4,10.476027
4,9.483474
10,11.5932045
15,10.203333
9,15.207261
10,14.637846
2,10.766647
18,10.2597065
18,11.694144
13,11.749681
9,9.292612
9,9.460953
8,11.793122
6,10.827251
18,11.025052
13,10.748036
9,10.95194
14,9.484169
24,11.698854
8,10.910509
7,11.451518
42,10.910509
11,15.24728
3,10.958848
16,11.793122
6,10.804859
10,10.851257
19,10.687966
3,11.080772
4,11.749681
10,10.569367
17,10.958848
28,11.161483
8,11.731362
12,9.492874
1,7.8705406
23,11.6710005
3,9.172572
17,10.203333
4,11.228484
14,10.902947
6,11.731362
15,10.745228
7,9.849227
3,14.942015
19,11.793122
4,11.760614
12,9.259125
3,9.60261
1,11.015204
5,8.297353
39,13.368204
5,10.068263
13,8.288216
11,10.9239
10,11.80989
36,14.576086
7,15.139603
14,10.714918
18,10.958848
5,10.51037
14,11.063407
11,11.749681
5,11.793122
3,10.59053
11,12.594029
5,10.559924
14,9.460953
19,10.975458
6,11.67008
5,9.357262
7,11.697952
12,11.681933
23,14.747134
10,11.793122
7,11.731362
9,11.558286
5,9.231529
4,10.766029
31,14.894424
2,10.848749
5,15.6630335
11,11.379269
11,9.9156275
18,11.053211
23,11.654964
4,10.975458
10,8.181149
6,8.288216
14,8.91869
22,9.385956
16,14.089886
7,11.125167
17,11.3990555
6,11.277659
8,11.414183
3,8.980283
11,11.4126215
12,12.071141
18,11.489444
23,12.74143
9,12.74143
13,9.292612
7,7.7808695
8,11.250051
16,11.025052
15,10.717618
7,9.411223
5,9.308631
10,11.629883
9,11.55719
6,14.131297
5,7.727179
15,11.228484
7,9.444844
14,11.6710005
6,11.802845
7,11.072642
7,11.789359
15,10.655906
14,10.810088
2,11.694144
12,10.305041
